,Place,Phrase,Form,Type,KeyLexemes;
0,1,Ермила,Snom,1,алкать;
2,3,чудес,Sgen,3,алкать;
3,1,пассажиры,Snom,1,алкать;
5,3,гигиены,Sgen,3,алкать;
6,1,рекламистов,Sacc,1,алкать;
7,3,«львов»,Sgen,2,алкать;
8,1,Он,SPROnom,1,алкать;
10,3,блеска,Sgen,3,алкать;
11,1,Мэрия,Snom,1,алкать;
13,3,реконструкции,Sgen,3,алкать;
14,1,Тот,APROnom,1,алкать;
16,3,славы,Sgen,2,алкать;
18,3,встречи,Sgen,3,алкать;
19,3,славы,Sgen,3,алкать;
21,3,доказательств,Sgen,3,алкать;
22,1,Справедливость,Snom,1,алкать;
23,3,правды,Sgen,3,алкать;
24,1,дух,Snom,1,алкать;
25,3,истины,Sgen,3,алкать;
26,1,Монька,Snom,1,алкать;
27,3,его,SPROgen,2,алкать;
28,1,Я,SPROnom,1,алкать;
30,3,женщину,Sacc,3,алкать;
31,1,Семочка,Snom,1,алкать;
32,3,пива,Sgen,3,алкать;
33,1,хозяин,Snom,1,алкать;
34,3,его,SPROacc,3,алкать;
36,3,знати,Sgen,2,алкать;
37,1,воображение,Snom,1,алкать;
39,3,что,SPROacc,1,алкать;
41,3,правды,Sgen,1,алкать;
42,1,мечтой,Sins,1,алкать;
43,3,кумиров,Sgen,3,алкать;
44,1,люди,Snom,1,алкать;
45,3,наживы,Sgen,3,алкать;
46,1,сердце,Snom,1,алкать;
47,3,отдохновения,Sgen,2,алкать;
48,1,кумир,Snom,1,алкать;
49,3,сказки,Sgen,3,алкать;
51,3,напитка,Sgen,3,алкать;
53,3,спасения,Sgen,3,алкать;
54,1,идол,Snom,1,алкать;
55,3,крови,Sgen,3,алкать;
56,3,информации,Sgen,3,алкать;
57,1,даме,Sdat,1,алкать;
58,3,любви,Sgen,3,алкать;
59,1,гномов,Sgen,1,алкать;
60,3,меды,Sacc,3,алкать;
61,1,малолетки,Snom,1,алкать;
62,3,знания,Sgen,3,алкать;
63,1,человек,Snom,1,алкать;
64,3,подробностей,Sgen,3,алкать;
65,1,зверь,Snom,1,алкать;
66,1,секстанта,Sacc,1,алкать;
67,1,клиентуры,Sgen,1,алкать;
68,1,рты,Snom,1,алкать;
69,1,человечества,Sgen,1,алкать;
72,1,дачников,Sgen,1,алкать;
73,1,волной,Sins,1,алкать;
74,1,агэшников,Sgen,1,алкать;
75,1,обитатели,Snom,1,алкать;
