construction	frequency
кроме того	90025
например	73859
напомним	40380
в частности	36951
возможно	31091
кстати	27732
по его словам	26775
таким образом	25241
однако	23345
правда	22039
наверное	20307
к примеру	16602
может	15159
как правило	14206
в свою очередь	13957
значит	13616
скорее всего	13604
вероятно	13293
может быть	12349
к сожалению	11900
похоже	11876
отметим	11365
тем не менее	11108
разумеется	10316
кажется	9905
казалось	9655
оказалось	9633
видимо	9141
очевидно	8889
дело в том	8564
думаю	8383
пожалуй	8336
соответственно	7633
отмечается	7334
известно	7127
естественно	7017
несмотря на то	7009
по крайней мере	6957
в общем	6879
сегодня	6847
предполагается	6554
безусловно	6534
наоборот	6527
интересно	6205
по его мнению	6102
с другой стороны	6092
следовательно	6054
а значит	6050
ранее сообщалось	5875
по сути	5869
прежде всего	5851
по ее словам	5844
к слову	5772
увы	5680
выяснилось	5679
к счастью	5605
как известно	5569
напротив	5522
с одной стороны	5353
ожидается	5336
он отметил	5224
действительно	5085
поэтому	5066
по предварительным данным	5027
скажем	5023
итак	4947
стоит отметить	4882
судя по всему	4789
собственно	4764
помимо этого	4739
оказывается	4644
в конце концов	4378
хотя	4290
я думаю	4205
надеюсь	4068
говорят	3922
в первую очередь	3867
главное	3852
пожалуйста	3789
как оказалось	3778
мол	3715
казалось бы	3709
кроме этого	3632
понятно	3625
в том числе	3600
несомненно	3588
на мой взгляд	3572
по всей видимости	3554
сообщается	3549
считается	3525
– да	3522
в целом	3442
как ожидается	3391
он добавил	3327
мне кажется	3305
предположительно	3295
примечательно	3267
должно быть	3233
иными словами	3160
а может	3152
можно сказать	3073
добавим	3066
во всяком случае	3000
как выяснилось	2966
вместе с тем	2902
учитывая	2800
хорошо	2787
планируется	2787
получается	2750
люди	2725
не исключено	2715
– нет	2701
это означает	2692
причем	2684
он подчеркнул	2633
между прочим	2620
это значит	2566
быть может	2548
– ну	2537
отметив	2524
скорее	2473
добавив	2447
по их мнению	2390
в основном	2326
я знаю	2314
видно	2314
как следствие	2268
как говорится	2229
не знаю	2223
по их словам	2177
уверен	2145
по версии следствия	2123
ладно	2099
ранее стало известно	2092
