construction	frequency
в частности	36950
по его словам	26775
таким образом	25241
к примеру	16602
как правило	14203
в свою очередь	13957
к сожалению	11900
дело в том	8562
по крайней мере	6957
по его мнению	6102
с другой стороны	6091
по сути	5869
по ее словам	5844
к слову	5772
к счастью	5605
с одной стороны	5352
по предварительным данным	5027
в конце концов	4378
в первую очередь	3867
главное	3839
в том числе	3600
на мой взгляд	3572
по всей видимости	3554
в целом	3442
иными словами	3160
во всяком случае	3000
люди	2725
по их мнению	2390
как следствие	2268
по их словам	2177
по версии следствия	2123
словом	1803
в принципе	1766
человек	1719
на самом деле	1715
в субботу	1640
деятельности	1623
в пятницу	1598
в понедельник	1544
по мнению экспертов	1525
в среду	1464
по словам ученых	1443
в случае	1425
по мнению ученых	1420
во вторник	1406
в воскресенье	1405
для сравнения	1375
в четверг	1363
ребята	1342
по последним данным	1342
по данным издания	1280
на наш взгляд	1245
в результате	1236
другими словами	1222
как минимум	1217
по данным следствия	1199
по ее мнению	1168
по слухам	1161
исследования	1143
без сомнения	1134
в статье	1134
в самом деле	1121
образом	1116
программное обеспечение	1107
по данным сми	1106
по мнению специалистов	1098
на первый взгляд	1092
дети	1073
спасибо	1071
в любом случае	1057
по словам специалистов	1051
по данным ведомства	1045
в итоге	976
согласно документу	969
ученые выяснили	964
а главное	944
по словам очевидцев	939
что люди	934
заключения	931
компьютерные и видеоигры	928
исследование	913
по предварительной информации	909
мужчина	897
тем временем	878
тот факт	875
ваше величество	871
по некоторым данным	866
слава богу	857
образования	848
по идее	833
другое дело	814
со своей стороны	806
по словам эксперта	792
результаты показали	779
главным образом	774
по правде говоря	761
сэр	752
по словам экспертов	750
задачи	743
по словам исследователей	743
по мнению исследователей	738
одним словом	733
проблема в том	729
самое главное	727
интернет	722
женщина	706
по большому счету	692
мама	689
до тех пор	679
как показывает практика	674
по меньшей мере	664
в то время	662
образование	661
время	657
не секрет	634
в среднем	633
людей	628
данные	625
понятное дело	624
человека	623
парень	612
к тому времени	611
каждый раз	610
по статистике	608
в сущности	605
по мнению эксперта	599
по прогнозам синоптиков	596
по словам разработчиков	592
детей	588
друзья	588
личности	584
по мнению аналитиков	580
по мнению авторов	577
по официальным данным	576
на вопрос	575
исследование показало	565
ученые считают	560
по его данным	559
речь	547
при условии	537
по словам специалиста	534
профессор	531
компании	530
по словам авторов	521
женщины	513
проект	508
смартфоны	506
кафе	505
обучения	502
по прогнозам	501
по нашему мнению	500
отец	498
на кадрах видно	498
эксперты считают	485
в том случае	480
по словам министра	479
деньги	478
госпожа	478
с тех пор	477
девушка	475
по данным росстата	472
предмет	469
по их данным	468
по словам учёных	467
анализ показал	466
трех глав	461
энергетики	460
удостоверяющий личность	458
студенты	456
компания	456
он обратил внимание	456
работы	455
возбуждено уголовное дело	455
эксперты отмечают	449
мальчик	449
капитан	449
но главное	441
ваше высочество	440
что человек	439
ученые	439
культуры	438
ученые отмечают	437
родители	436
школы	433
по информации издания	429
проблемы	423
по оценкам	422
игры	421
исследователи полагают	417
девочки	414
– к сожалению	414
по данным агентства	411
новинка	411
по имеющимся данным	408
ученые предполагают	406
экология	405
учителя	403
вопрос	403
ит бизнес	402
в этом году	401
по всей вероятности	400
к несчастью	398
людям	397
имя	395
по предварительной версии	393
документы	392
место	390
по оценкам экспертов	390
устройство	389
по словам президента	389
исследователи отмечают	389
ученые обнаружили	389
девочка	389
частности	388
по её словам	387
по сути дела	386
специалисты отмечают	384
мужчины	383
по моему мнению	381
объект	381
папа	380
хранение	379
по словам врачей	376
учащихся	376
книги	373
по словам источника	372
результаты	371
по мнению учёных	371
делая вид	370
в таком случае	368
по словам путина	367
в прошлом году	366
работа	366
исследования показали	365
в конечном счете	364
военнослужащие рвсн	364
граждане	363
господин	363
в конечном итоге	357
игра	357
по традиции	354
специалисты считают	352
фотографии	351
исследователи считают	349
водитель	348
на ваш взгляд	346
овощи	346
средства	346
как отмечает издание	345
развития	344
психологии	344
сахар	343
на его взгляд	343
авторы отмечают	343
цель	341
исследователи обнаружили	341
вода	339
эксперты полагают	338
технологии	336
в настоящее время	335
на следующий день	335
бизнес	334
по предварительным оценкам	330
молодой человек	329
фрукты	328
в чем дело	327
система	327
черт	327
друг мой	327
труда	326
культура	326
брат	326
стороны	326
вопросы	325
видео	325
действия	323
ученые полагают	321
мышления	321
музыка	320
с учетом того	320
по разным оценкам	320
в тот момент	319
по словам женщины	317
здравоохранения	316
сегодня утром	315
глава региона отметил	315
согласно исследованию	314
связи	306
модель	306
в конечном счёте	305
по мере того	301
требования к назначению	300
продукты	299
вне всякого сомнения	299
в смысле	299
наука	298
проблема	298
дом	297
информация	297
возраст	297
специалисты	296
студентов	296
господа	296
– спасибо	296
соль	295
информация о том	294
задач	294
знаний	293
согласно проекту	293
в ведомстве отметили	292
затаив дыхание	291
врачи	290
исследования показывают	290
слова	289
учёные полагают	289
по словам губернатора	288
по информации сми	288
яйца	287
строительство	287
двух глав	286
условия	285
честное слово	285
эльфы	285
в противном случае	284
по словам медиков	282
издание отмечает	282
психология и психиатрия	281
в этом случае	280
смежные земельные участки	279
аппарат	278
ребенок	277
отвечая на вопрос	277
для предоставления услуг	276
времени	275
вопрос о том	273
по оценкам специалистов	273
ребенка	272
дтп	271
конкурсы	271
инвестиции	271
по некоторым оценкам	270
школьников	270
исследователи выяснили	270
есть люди	269
ситуация	269
ситуации	269
в данном случае	269
в общей сложности	268
по имеющейся информации	267
всякий раз	266
и главное	265
эксперты	265
президентский бульвар	264
мысль о том	263
молоко	262
по существу	260
по счастью	260
согласно закону	259
экспертиза показала	259
семьи	258
безопасность	258
энергетике	258
системы	258
как человек	257
по данным ск	256
согласно статистике	255
документ	255
организации	255
ветераны	253
по словам чиновника	253
милорд	253
вероятность того	252
программа	251
умений	251
внимание	250
школьники	249
знания	249
общения	249
черт возьми	249
тюменцы	248
изменения	247
самолет	246
цели	246
народная артистка россии	246
магазины	245
морковь	245
водоснабжение	245
не дай бог	243
военнослужащие	243
выводов	243
вечером	242
ученые предположили	242
правда ли	241
журналисты	240
депутаты	240
деятельность	240
рестораны	240
по оценкам ученых	240
любовь	238
работ	238
факторов	238
лица	237
согласно данным	237
поведения	237
это правда	237
девчонки	237
здоровье	236
возраста	236
педагогов	235
что дети	235
действий	235
утром	234
мир	234
чай	234
исследований	234
исследователи	233
по возможности	232
перечень документов	232
по данным исследования	231
мать	231
состоит из введения	231
память	229
дело	229
губернатор отметил	228
по разным данным	228
анкетирование	228
согласно сми	227
накануне вечером	227
обратите внимание	226
на сегодняшний день	226
свет	225
гипотеза	225
по словам мужчины	224
история	224
ночью	224
пол	224
вопрос в том	223
как результат	223
